customer_tweet_id,customer_text,true_intent,pred_intent,true_escalate,pred_escalate,escalate_reason,reply,human_overall,_llm_judge_overall_FILL_LAST_DO_NOT_LOOK_YET
2789379,@SpotifyCares is your website down trying to get in to cancel my subscription but can’t get to the page,billing_payment_subscription,billing_payment_subscription,True,False,The issue can be auto-handled by providing generic self-serve troubleshooting steps to access the subscription cancellation page.,Hey there! Could you DM us your account's email address or username? We can take a closer look and help you sort that out. Just let us know /CH,3,5
929992,Hi @115888 for some reason my account wont play Kesha tracks. Ive tried downloading it and it still doesnt work?,playback_streaming_issue,content_missing_restricted,False,False,"The issue involves generic troubleshooting steps for content playback that have not been exhausted, allowing the AI agent to handle it with self-serve guidance.",Hey there! Can you send us the Song Link by tapping the three dots > Share > Copy Link? We'll take a look backstage.,5,5
2449853,@116380 HI! I can’t listen to this yet. Can you please fix ASAP. From one crazy Björk fan. Xx 🏳️‍🌈 #BlissingMe,content_missing_restricted,content_missing_restricted,False,False,"The issue involves general content availability/informational questions where generic troubleshooting or self-serve information applies, so it does not require account-specific data or safety intervention.","Hey there! Sometimes content isn't available right away due to licensing changes, but hopefully we'll have it ready for you soon. Keep us posted if you need anything else!",4,5
1230152,@117153 @SpotifyCares it logged me out of the app and won't let me log in?,login_account_access,login_account_access,False,True,Escalate because resolving a login failure where the app refuses access requires account-specific data and investigation.,"Hmm, let's get this sorted. Can you DM us the email address tied to your account so we can take a closer look? /AN",5,5
2697371,"@SpotifyCares hey, i am getting a bug on xbox one where everytime i quit the app i get signed out. is there anyway i can fix this/or are you aware of this?",playback_streaming_issue,device_platform_support,True,False,"The issue involves generic device troubleshooting where self-serve steps apply, so it should be auto-handled according to the policy.","Hey! Sorry about that happening on your Xbox. Have you tried logging out and back in, or restarting the console to see if it helps? Keep us posted.",5,5
1707321,@115888 Will you guys please make it so me and my friends who also have premium can jam to the same songs at the same time simultaneously?,feature_request_feedback,feature_request_feedback,False,False,"This is a feature request and feedback, which falls under auto-handling according to the policy for feedback acknowledgement.",That would be a fun way to listen! You can share your idea and add your vote over on our ideas board: https://community.spotify.com/t5/Idea-Exchange/idb-p/ideaexchange. Keep us posted!,5,5
1781360,"@SpotifyCares I'm getting a bunch of ""This song is not available"" blue bar warnings for many popular artists on my macOS desktop app.",content_missing_restricted,content_missing_restricted,True,False,"The issue is a generic troubleshooting scenario involving regional licensing or app cache errors on the desktop app, which falls under generic self-serve troubleshooting steps.","Hey there! Can you let us know your Spotify version, and send us a link to one of the playlists or artists where this is happening? Keep us posted.",5,5
2175353,@SpotifyCares No difference ☹️,general_chitchat_ack,general_chitchat_ack,False,False,"The message falls under feedback acknowledgement and informational response, which does not require account-specific data or escalation according to the policy.",Got it! Let's try doing a clean reinstall of the app to see if that helps. Let us know how it goes.,5,5
1244054,"@SpotifyCares I’m using the iOS app, version 8.4.22",device_platform_support,device_platform_support,False,False,"The message provides device information for a general informational/troubleshooting query, which falls under generic self-serve troubleshooting steps that can be auto-handled without requiring account-specific investigation.","Thanks for sharing that! Try logging out, restarting your phone, and logging back in to see if that helps. Let us know how it goes.",5,5
156967,"@SpotifyCares The other playlists stay synced except songs often get removed from my device and need to redownload... which I assume is to give me the latest version, but really how often does a song need to actually refresh?",downloads_offline_issue,downloads_offline_issue,False,False,"The issue is a technical question about offline downloads that can be addressed with generic self-serve troubleshooting steps, so it does not require account-specific data or safety escalation.",Hey there! Sorry for the trouble with your downloads disappearing. Can you DM us your username or email address so we can take a closer look? /JU,3,5
856195,@spotifycares I have a premium family account how do I go about adding family members,family_plan_management,family_plan_management,False,False,The issue is an informational request about family plan management that can be resolved with generic self-serve troubleshooting steps without requiring account-specific data lookup.,"Hey there! To get family members added, could you shoot us a DM with your account's email address? We'll take a look backstage.",3,5
77728,My @115888 it's okay now 😍 I can download and stream all the songs of @133324  💜💜💜,general_chitchat_ack,general_chitchat_ack,False,False,"This is a general feedback acknowledgement indicating the user's issue resolved itself, which falls under auto-handling per the policy.",@115888 Awesome! Let us know if you ever need us again. We're always here 🎶,5,5
936218,@SpotifyCares Hey! The last time I sent you the artist URI link you guys removed the other artist that was being linked to it. Can we do it again? :),content_missing_restricted,content_missing_restricted,True,True,"Resolving this message requires account-specific data and a manual lookup to update artist URI links, which falls under the policy clause requiring an email/username handoff.","Hey there! Our Artist Support team are the best folks to handle this, you can reach them here: https://support.spotify.com/artists/ Keep us posted.",5,5
